cenário,método,MAE,RMSE,MAE_kW,RMSE_kW,MRE
pontual 10%,BERT (proposto),0.1314966380596161,0.20666185021400452,14.942155838012695,47.671722412109375,0.04464475065469742
pontual 10%,média da janela,0.7789434790611267,0.9239405989646912,106.88675689697266,308.95697021484375,0.3193604052066803
pontual 10%,último valor (ffill),0.29290831089019775,0.4686136543750763,35.69635772705078,145.35635375976562,0.10665495693683624
pontual 10%,interpolação linear,0.18414545059204102,0.2884349524974823,21.500642776489258,78.16088104248047,0.0642404556274414
pontual 25%,BERT (proposto),0.1372668445110321,0.21141301095485687,15.322525978088379,47.00400924682617,0.045870326459407806
pontual 25%,média da janela,0.7808077335357666,0.9249996542930603,106.73184204101562,306.43731689453125,0.3195180892944336
pontual 25%,último valor (ffill),0.33130356669425964,0.5310633778572083,40.60770797729492,169.0464324951172,0.12156538665294647
pontual 25%,interpolação linear,0.20561710000038147,0.31701749563217163,24.45684051513672,90.77810668945312,0.0732152909040451
pontual 50%,BERT (proposto),0.15581244230270386,0.23842193186283112,17.118566513061523,53.024173736572266,0.05138811096549034
pontual 50%,média da janela,0.7819069623947144,0.9274206757545471,106.70030212402344,304.3590393066406,0.32030293345451355
pontual 50%,último valor (ffill),0.43485909700393677,0.6901565194129944,53.99723434448242,215.51930236816406,0.16209393739700317
pontual 50%,interpolação linear,0.2696673274040222,0.41267067193984985,33.021183013916016,119.80831909179688,0.09912607073783875
bloco 10%,BERT (proposto),0.17265936732292175,0.2755338251590729,18.917875289916992,61.46327590942383,0.05786296725273132
bloco 10%,média da janela,0.7883704900741577,0.9344150424003601,106.61819458007812,310.1080017089844,0.3261066675186157
bloco 10%,último valor (ffill),0.7727970480918884,1.1011674404144287,107.85781860351562,403.45074462890625,0.32989823818206787
bloco 10%,interpolação linear,0.5660394430160522,0.8192193508148193,73.38412475585938,274.4500732421875,0.22445560991764069
bloco 25%,BERT (proposto),0.1756395399570465,0.27389398217201233,19.04499053955078,65.02161407470703,0.05809389799833298
bloco 25%,média da janela,0.7987185716629028,0.9445580840110779,105.93229675292969,300.28167724609375,0.32313066720962524
bloco 25%,último valor (ffill),0.7808647751808167,1.1090141534805298,102.81620025634766,379.10693359375,0.3136254549026489
bloco 25%,interpolação linear,0.5756059288978577,0.8321355581283569,72.9034423828125,261.01116943359375,0.22238107025623322
bloco 50%,BERT (proposto),0.18766334652900696,0.2977486252784729,20.298410415649414,62.9407958984375,0.060827676206827164
bloco 50%,média da janela,0.7971876859664917,0.9492642283439636,107.64122009277344,305.614501953125,0.3225654065608978
bloco 50%,último valor (ffill),0.7863721251487732,1.1161606311798096,101.02639770507812,350.59442138671875,0.30274295806884766
bloco 50%,interpolação linear,0.5758362412452698,0.8318451642990112,72.46124267578125,244.97036743164062,0.21714256703853607
