cenário,BERT,BERT+FFT (padrão),BERT+FFT (segmentada),SAITS (DMSA+ORT),SAITS-FFT (padrão),SAITS-FFT (segmentada),BERT+FFT adversarial
pontual 10%,0.1193254142999649,0.1150392666459083,0.1152652651071548,0.1147327050566673,0.1152764558792114,0.1148896664381027,0.12009381502866745
pontual 25%,0.1244035437703132,0.1208750829100608,0.1207095608115196,0.1206170246005058,0.1207883358001709,0.1208225563168525,0.12480014562606812
pontual 50%,0.1427935063838958,0.1404533386230468,0.139229267835617,0.1388480514287948,0.1396326720714569,0.1399097293615341,0.1429988443851471
bloco 10%,0.1603556722402572,0.1559130996465683,0.1562411338090896,0.157534509897232,0.1563456207513809,0.1567061394453048,0.16147011518478394
bloco 25%,0.1627744138240814,0.1586811393499374,0.1588831394910812,0.1598959118127823,0.159025952219963,0.1590330004692077,0.16433610022068024
bloco 50%,0.1737390309572219,0.1708615869283676,0.1698246002197265,0.1708684116601944,0.170779287815094,0.1711200326681137,0.1757267713546753
