cenário,método,MAE,RMSE,MAE_kW,RMSE_kW,MRE
pontual 10%,BERT,0.1193254142999649,0.1965659111738205,13.09086799621582,46.07374954223633,0.039113402366638184
pontual 10%,BERT+FFT (padrão),0.11503926664590836,0.19104722142219543,12.300924301147461,43.2958869934082,0.036753177642822266
pontual 10%,BERT+FFT (segmentada),0.11526526510715485,0.1913972645998001,12.40997314453125,44.61461639404297,0.03707899898290634
pontual 10%,SAITS (DMSA+ORT),0.11473270505666733,0.18952098488807678,12.43813705444336,43.645652770996094,0.0371631495654583
pontual 10%,SAITS-FFT (padrão),0.11527645587921143,0.18991157412528992,12.365806579589844,42.95050048828125,0.03694703429937363
pontual 10%,SAITS-FFT (segmentada),0.11488966643810272,0.1897851526737213,12.325275421142578,43.67352294921875,0.036825936287641525
pontual 10%,média da janela,0.7789434790611267,0.9239405989646912,106.88675689697266,308.95697021484375,0.3193604052066803
pontual 10%,último valor (ffill),0.29290831089019775,0.4686136543750763,35.69635772705078,145.35635375976562,0.10665495693683624
pontual 10%,interpolação linear,0.18414545059204102,0.2884349524974823,21.500642776489258,78.16088104248047,0.0642404556274414
pontual 25%,BERT,0.12440354377031326,0.19766965508460999,13.366244316101074,43.18702697753906,0.04001389816403389
pontual 25%,BERT+FFT (padrão),0.12087508291006088,0.19318442046642303,12.787162780761719,41.7676887512207,0.03828032687306404
pontual 25%,BERT+FFT (segmentada),0.12070956081151962,0.1925794929265976,12.743522644042969,42.10897445678711,0.03814968466758728
pontual 25%,SAITS (DMSA+ORT),0.12061702460050583,0.19140295684337616,12.94914722442627,42.41442108154297,0.03876525163650513
pontual 25%,SAITS-FFT (padrão),0.1207883358001709,0.19323775172233582,12.881248474121094,41.972557067871094,0.03856198862195015
pontual 25%,SAITS-FFT (segmentada),0.12082255631685257,0.19365821778774261,12.885944366455078,41.90941619873047,0.038576044142246246
pontual 25%,média da janela,0.7808077335357666,0.9249996542930603,106.73184204101562,306.43731689453125,0.3195180892944336
pontual 25%,último valor (ffill),0.33130356669425964,0.5310633778572083,40.60770797729492,169.0464324951172,0.12156538665294647
pontual 25%,interpolação linear,0.20561710000038147,0.31701749563217163,24.45684051513672,90.77810668945312,0.0732152909040451
pontual 50%,BERT,0.14279350638389587,0.22474722564220428,15.383325576782227,50.1834831237793,0.04617910459637642
pontual 50%,BERT+FFT (padrão),0.14045333862304688,0.22109146416187286,15.025482177734375,49.515769958496094,0.045104894787073135
pontual 50%,BERT+FFT (segmentada),0.13922926783561707,0.2194274663925171,14.853940963745117,49.162567138671875,0.044589947909116745
pontual 50%,SAITS (DMSA+ORT),0.13884805142879486,0.21869002282619476,14.914790153503418,48.58995056152344,0.04477261006832123
pontual 50%,SAITS-FFT (padrão),0.1396326720714569,0.2204395979642868,14.94725227355957,48.5268440246582,0.044870056211948395
pontual 50%,SAITS-FFT (segmentada),0.13990972936153412,0.2214457094669342,15.032079696655273,48.90260696411133,0.04512469843029976
pontual 50%,média da janela,0.7819069623947144,0.9274206757545471,106.70030212402344,304.3590393066406,0.32030293345451355
