cenário,modelo,mae_media,mae_desvio,rmse_media,rmse_desvio
bloco 10%,BERT (proposto),0.17393792172273,0.0014194098342996332,0.2767748435338338,0.0017161913167990845
bloco 10%,SAITS (DMSA+ORT),0.1707610785961151,0.0013665114993694795,0.27498223384221393,0.001724909154985504
bloco 10%,SAITS-2P (refinamento),0.17035794258117676,0.0017556366042581952,0.2736447254816691,0.003298349229932935
bloco 10%,SAITS-FFT (proposto),0.17282245059808096,0.002108495098261408,0.2768380443255107,0.0022781756009123155
bloco 25%,BERT (proposto),0.17724616825580597,0.0015709087416149303,0.27680201331774396,0.0025583874352479055
bloco 25%,SAITS (DMSA+ORT),0.17372175554434457,0.0017037222095707576,0.2745557427406311,0.0030834214291924488
bloco 25%,SAITS-2P (refinamento),0.17245704929033914,0.002267404753581031,0.2723470727602641,0.004051330342334774
bloco 25%,SAITS-FFT (proposto),0.17554804186026254,0.0018949532864802677,0.2760223050912221,0.002111921671527951
bloco 50%,BERT (proposto),0.1893106351296107,0.0017486181997044747,0.3010197381178538,0.003192882173433734
bloco 50%,SAITS (DMSA+ORT),0.18528306484222412,0.001994279194751239,0.29725173115730286,0.003386962438600471
bloco 50%,SAITS-2P (refinamento),0.1822055677572886,0.0020811424760788636,0.29300270477930707,0.0038177295573889637
bloco 50%,SAITS-FFT (proposto),0.18853032092253366,0.0023995794036175836,0.30055784185727435,0.002502546119345388
pontual 10%,BERT (proposto),0.1321202516555786,0.0005697941734695815,0.20760350426038107,0.000898766605009271
pontual 10%,SAITS (DMSA+ORT),0.12683394054571787,0.0010133197922067847,0.20365838706493378,0.0013539807414742631
pontual 10%,SAITS-2P (refinamento),0.12745336691538492,0.0004715235027234498,0.20489701628684998,0.001647992974228696
pontual 10%,SAITS-FFT (proposto),0.13011783361434937,0.002242526384456193,0.20705508689085642,0.002734958016550897
pontual 25%,BERT (proposto),0.1380333105723063,0.000857621460909311,0.21208939949671426,0.0006546861782015381
pontual 25%,SAITS (DMSA+ORT),0.13244646787643433,0.0009137856659549535,0.20788218080997467,0.0006447593796035222
pontual 25%,SAITS-2P (refinamento),0.13174026211102804,0.0014646556724852123,0.2075826476017634,0.00217860667184045
pontual 25%,SAITS-FFT (proposto),0.1353771686553955,0.0018369906696344453,0.21129990120728812,0.0022676214648268806
pontual 50%,BERT (proposto),0.15641339123249054,0.0009254455925873339,0.23940797646840414,0.0008703869119818607
pontual 50%,SAITS (DMSA+ORT),0.15080516040325165,0.0013584483931073344,0.23526701827843985,0.0011379530232801154
pontual 50%,SAITS-2P (refinamento),0.14835459490617117,0.0015805506271330686,0.2329927235841751,0.0022312313435602564
pontual 50%,SAITS-FFT (proposto),0.1546712964773178,0.0028522956059503115,0.23942709962526956,0.0028436048642681167
