cenário,BERT,BERT+FFT (padrão),BERT+FFT (segmentada),SAITS (DMSA+ORT),SAITS-FFT (padrão),SAITS-FFT (segmentada)
pontual 10%,0.1193254142999649,0.11503926664590836,0.11526526510715485,0.11473270505666733,0.11527645587921143,0.11488966643810272
pontual 25%,0.12440354377031326,0.12087508291006088,0.12070956081151962,0.12061702460050583,0.1207883358001709,0.12082255631685257
pontual 50%,0.14279350638389587,0.14045333862304688,0.13922926783561707,0.13884805142879486,0.1396326720714569,0.13990972936153412
bloco 10%,0.16035567224025726,0.1559130996465683,0.15624113380908966,0.15753450989723206,0.15634562075138092,0.15670613944530487
bloco 25%,0.16277441382408142,0.15868113934993744,0.15888313949108124,0.1598959118127823,0.15902595221996307,0.15903300046920776
bloco 50%,0.17373903095722198,0.17086158692836761,0.16982460021972656,0.1708684116601944,0.170779287815094,0.1711200326681137
