comparação,cenário,Δ% médio,Δ% desvio,Δ% pior semente,vitórias (de 3 sementes)
SAITS-2P vs BERT,pontual 10%,-3.530083638999439,0.7723421436238586,-2.7018025766636184,3
SAITS-2P vs BERT,pontual 25%,-4.552240635187595,1.6511609101448388,-3.088650649133255,3
SAITS-2P vs BERT,pontual 50%,-5.146383804617737,1.5373921904500425,-3.9873833492506594,3
SAITS-2P vs BERT,bloco 10%,-2.048419590090574,1.800480427975611,-0.5155444380905662,3
SAITS-2P vs BERT,bloco 25%,-2.6905268769987836,2.0520865382053004,-1.0781566424619728,3
SAITS-2P vs BERT,bloco 50%,-3.7419444670112543,1.9044220728987513,-2.4145310648653466,3
SAITS 1P vs BERT,pontual 10%,-3.9996448100204787,0.9202199826723934,-3.1521577773018348,3
SAITS 1P vs BERT,pontual 25%,-4.042990827458509,1.1716382460779307,-2.744733886521038,3
SAITS 1P vs BERT,pontual 50%,-3.580312278180997,1.3895065349478892,-2.3084531228541842,3
SAITS 1P vs BERT,bloco 10%,-1.8179145847034863,1.5749005575521593,-0.27579245452695417,3
SAITS 1P vs BERT,bloco 25%,-1.9776143200788605,1.8311025105551324,-0.07487081073422601,3
SAITS 1P vs BERT,bloco 50%,-2.1154837359475036,1.9535171185758307,-0.20251115740875286,3
SAITS-FFT vs BERT,pontual 10%,-1.5095592357269672,2.119343913258043,0.6912389130826475,2
SAITS-FFT vs BERT,pontual 25%,-1.9162536067179363,1.936851065672152,-0.195303382978959,3
SAITS-FFT vs BERT,pontual 50%,-1.1047000341206943,2.3780956564298283,0.9631329953456239,2
SAITS-FFT vs BERT,bloco 10%,-0.6303590087112331,2.017084391656703,1.2865999354102287,2
SAITS-FFT vs BERT,bloco 25%,-0.9468991456631245,1.9186977183495983,0.8051687583831977,2
SAITS-FFT vs BERT,bloco 50%,-0.399019317825327,2.162476500291787,1.4005460114973358,1
SAITS-2P vs SAITS 1P,pontual 10%,0.49265131280931107,0.8836139470774395,1.3897601017676775,1
SAITS-2P vs SAITS 1P,pontual 25%,-0.5336797224156923,0.7823169174362099,0.1429105958951457,2
SAITS-2P vs SAITS 1P,pontual 50%,-1.6234837346157585,0.8730376609203712,-0.6397551175069702,3
SAITS-2P vs SAITS 1P,bloco 10%,-0.23697787428479813,0.3938073724167243,0.15853682603947503,2
SAITS-2P vs SAITS 1P,bloco 25%,-0.7285942684888503,0.7692988316091224,0.14050890429243368,2
SAITS-2P vs SAITS 1P,bloco 50%,-1.6597900808973887,0.7041432962277647,-0.868238699006831,3
