cenário,método,MAE,RMSE,MAE_kW,RMSE_kW,MRE
pontual 10%,BERT (proposto) [s42],0.1314966380596161,0.20666185021400452,14.942155838012695,47.671722412109375,0.04464475065469742
pontual 10%,SAITS (DMSA+ORT) [s42],0.12735165655612946,0.20241068303585052,14.086381912231445,45.61740493774414,0.04208783805370331
pontual 10%,SAITS-2P (refinamento) [s42],0.12794385850429535,0.20584730803966522,14.100554466247559,47.33176040649414,0.042130179703235626
pontual 10%,SAITS-FFT (proposto) [s42],0.1324055939912796,0.20861957967281342,14.905754089355469,47.84611892700195,0.044535987079143524
pontual 10%,BERT (proposto) [s43],0.13261370360851288,0.20845215022563934,15.020902633666992,48.547401428222656,0.044880036264657974
pontual 10%,SAITS (DMSA+ORT) [s43],0.1274838149547577,0.20509813725948334,14.013836860656738,46.65645217895508,0.0418710820376873
pontual 10%,SAITS-2P (refinamento) [s43],0.12700343132019043,0.20299407839775085,14.082974433898926,46.4455680847168,0.04207765683531761
pontual 10%,SAITS-FFT (proposto) [s43],0.12792345881462097,0.20389707386493683,13.94367790222168,44.94523620605469,0.04166145995259285
pontual 10%,BERT (proposto) [s44],0.13225041329860687,0.20769651234149933,14.859400749206543,47.290775299072266,0.044397491961717606
pontual 10%,SAITS (DMSA+ORT) [s44],0.12566635012626648,0.20346634089946747,13.628664016723633,45.20812225341797,0.04072025045752525
pontual 10%,SAITS-2P (refinamento) [s44],0.127412810921669,0.20584966242313385,13.830897331237793,45.92258834838867,0.041324492543935776
pontual 10%,SAITS-FFT (proposto) [s44],0.13002444803714752,0.20864860713481903,14.502371788024902,48.46717834472656,0.04333074763417244
pontual 10%,média da janela,0.7789434790611267,0.9239405989646912,106.88675689697266,308.95697021484375,0.3193604052066803
pontual 10%,último valor (ffill),0.29290831089019775,0.4686136543750763,35.69635772705078,145.35635375976562,0.10665495693683624
pontual 10%,interpolação linear,0.18414545059204102,0.2884349524974823,21.500642776489258,78.16088104248047,0.0642404556274414
pontual 25%,BERT (proposto) [s42],0.1372668445110321,0.21141301095485687,15.322525978088379,47.00400924682617,0.045870326459407806
pontual 25%,SAITS (DMSA+ORT) [s42],0.13349923491477966,0.20768478512763977,14.744572639465332,46.19522476196289,0.04414013400673866
pontual 25%,SAITS-2P (refinamento) [s42],0.13302715122699738,0.2085663080215454,14.565778732299805,46.28105926513672,0.043604884296655655
pontual 25%,SAITS-FFT (proposto) [s42],0.1369987577199936,0.2124578207731247,15.150481224060059,47.44551086425781,0.045355282723903656
pontual 25%,BERT (proposto) [s43],0.138959601521492,0.21271997690200806,15.621195793151855,48.464969635009766,0.04676444083452225
pontual 25%,SAITS (DMSA+ORT) [s43],0.13198144733905792,0.2073591947555542,14.316376686096191,45.10394287109375,0.04285826534032822
pontual 25%,SAITS-2P (refinamento) [s43],0.13014647364616394,0.2050856649875641,14.045183181762695,44.47035598754883,0.042046405375003815
pontual 25%,SAITS-FFT (proposto) [s43],0.1333821564912796,0.20868709683418274,14.535795211791992,46.22917175292969,0.043515127152204514
pontual 25%,BERT (proposto) [s44],0.13787348568439484,0.2121352106332779,15.306296348571777,47.4382209777832,0.045821741223335266
pontual 25%,SAITS (DMSA+ORT) [s44],0.1318587213754654,0.20860256254673004,14.380739212036133,46.28136444091797,0.043050941079854965
pontual 25%,SAITS-2P (refinamento) [s44],0.1320471614599228,0.20909596979618073,14.21473503112793,45.850887298583984,0.04255398362874985
pontual 25%,SAITS-FFT (proposto) [s44],0.13575059175491333,0.21275478601455688,14.982438087463379,48.162925720214844,0.04485221952199936
pontual 25%,média da janela,0.7808077335357666,0.9249996542930603,106.73184204101562,306.43731689453125,0.3195180892944336
pontual 25%,último valor (ffill),0.33130356669425964,0.5310633778572083,40.60770797729492,169.0464324951172,0.12156538665294647
pontual 25%,interpolação linear,0.20561710000038147,0.31701749563217163,24.45684051513672,90.77810668945312,0.0732152909040451
pontual 50%,BERT (proposto) [s42],0.15581244230270386,0.23842193186283112,17.118566513061523,53.024173736572266,0.05138811096549034
pontual 50%,SAITS (DMSA+ORT) [s42],0.15221558511257172,0.2362924963235855,16.674272537231445,52.359004974365234,0.050054386258125305
pontual 50%,SAITS-2P (refinamento) [s42],0.14870527386665344,0.23283179104328156,16.090776443481445,51.974674224853516,0.048302795737981796
pontual 50%,SAITS-FFT (proposto) [s42],0.15731312334537506,0.24183116853237152,17.2001895904541,53.34882354736328,0.051633138209581375
pontual 50%,BERT (proposto) [s43],0.15747910737991333,0.2400694042444229,17.45567512512207,53.84589767456055,0.05240007862448692
pontual 50%,SAITS (DMSA+ORT) [s43],0.14950546622276306,0.23404277861118317,16.114290237426758,51.764793395996094,0.04837338253855705
pontual 50%,SAITS-2P (refinamento) [s43],0.14662815630435944,0.2308463156223297,15.71265983581543,50.81116485595703,0.04716772958636284
pontual 50%,SAITS-FFT (proposto) [s43],0.15164710581302643,0.23628820478916168,16.48050880432129,52.709407806396484,0.04947273060679436
pontual 50%,BERT (proposto) [s44],0.15594862401485443,0.23973259329795837,17.148481369018555,53.26930236816406,0.051477909088134766
pontual 50%,SAITS (DMSA+ORT) [s44],0.15069442987442017,0.23546577990055084,16.28269386291504,51.78511047363281,0.04887890815734863
pontual 50%,SAITS-2P (refinamento) [s44],0.1497303545475006,0.23530006408691406,16.07184410095215,51.48969268798828,0.04824596270918846
pontual 50%,SAITS-FFT (proposto) [s44],0.15505366027355194,0.2401619255542755,16.83747673034668,53.12907028198242,0.05054430663585663
pontual 50%,média da janela,0.7819069623947144,0.9274206757545471,106.70030212402344,304.3590393066406,0.32030293345451355
pontual 50%,último valor (ffill),0.43485909700393677,0.6901565194129944,53.99723434448242,215.51930236816406,0.16209393739700317
pontual 50%,interpolação linear,0.2696673274040222,0.41267067193984985,33.021183013916016,119.80831909179688,0.09912607073783875
bloco 10%,BERT (proposto) [s42],0.17265936732292175,0.2755338251590729,18.917875289916992,61.46327590942383,0.05786296725273132
bloco 10%,SAITS (DMSA+ORT) [s42],0.17218318581581116,0.27634066343307495,18.552650451660156,59.33184051513672,0.056745871901512146
bloco 10%,SAITS-2P (refinamento) [s42],0.17176923155784607,0.275359570980072,18.482173919677734,59.46493148803711,0.056530311703681946
bloco 10%,SAITS-FFT (proposto) [s42],0.17488080263137817,0.2790926694869995,18.877323150634766,60.257198333740234,0.057738933712244034
bloco 10%,BERT (proposto) [s43],0.17546528577804565,0.27873334288597107,19.119308471679688,61.00670623779297,0.05847907438874245
bloco 10%,SAITS (DMSA+ORT) [s43],0.16945794224739075,0.2730415463447571,18.325634002685547,61.1080322265625,0.05605151131749153
bloco 10%,SAITS-2P (refinamento) [s43],0.16839195787906647,0.2698422074317932,18.375123977661133,60.565216064453125,0.05620288476347923
bloco 10%,SAITS-FFT (proposto) [s43],0.1706671565771103,0.27453702688217163,18.30137062072754,59.46904373168945,0.05597729608416557
bloco 10%,BERT (proposto) [s44],0.1736891120672226,0.2760573625564575,18.884675979614258,60.801544189453125,0.05776142328977585
