cenário,BERT+FFTp vs BERT,BERT+FFTs vs BERT,BERT+FFTs vs BERT+FFTp,SAITS-FFTp vs SAITS,SAITS-FFTs vs SAITS,SAITS-FFTs vs SAITS-FFTp,SAITS vs BERT
pontual 10%,-3.591982210329363,-3.4025854564422433,0.19645332227483273,0.4739283557164763,0.1368061368010716,-0.3355320374474281,-3.8488944456980843
pontual 25%,-2.836302530711658,-2.969355089766458,-0.136936492249953,0.14202903796745717,0.17040025404994014,0.028330977867171446,-3.043738992514955
pontual 50%,-1.638847465904739,-2.4960788753911993,-0.8715141978326407,0.5650930168540562,0.7646329363748513,0.19841866947545458,-2.7630492835534
bloco 10%,-2.7704492966315275,-2.5658826867083833,0.21039551087430547,-0.7546848919812614,-0.5258342774974031,0.23059084878190675,-1.759315591155593
bloco 25%,-2.5146915771220604,-2.390593362667969,0.12729940178859603,-0.5440786965446781,-0.5396706731219514,0.004432137739971445,-1.768399555970803
bloco 50%,-1.6561874513751917,-2.25305201481136,-0.6069162339430927,-0.05215934544861529,0.1472601082169065,0.19952352382956728,-1.6522593001767067
